no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category
2,1,0,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,3.1145833333333335,50700000,1.6956521739130435,2
0,0,1,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,2.975609756097561,17000000,1.3934426229508197,0
3,1,0,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,3.2637362637362637,57700000,1.9427609427609427,1
3,1,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,3.7439024390243905,52700000,1.716612377850163,0
5,0,1,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,2.4693877551020407,55000000,2.272727272727273,0
0,1,1,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,2.8125,33900000,2.511111111111111,0
5,1,0,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,3.793103448275862,70800000,2.1454545454545455,1
2,1,1,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,2.6315789473684212,36700000,2.4466666666666668,0
0,1,1,800000,2200000,20,782,1300000,800000,2800000,600000,1,2.75,5500000,2.5,2
5,0,0,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,3.909090909090909,9500000,2.2093023255813953,0
4,1,1,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,3.8620689655172415,25400000,2.267857142857143,1
2,0,1,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,3.388059701492537,47900000,2.1101321585903086,1
3,0,1,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,2.32,34900000,3.0086206896551726,0
2,1,1,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,3.4615384615384617,53300000,1.692063492063492,1
1,0,0,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,3.8947368421052633,10900000,1.472972972972973,0
5,0,0,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,2.276595744680851,30400000,2.8411214953271027,2
2,1,1,500000,1600000,4,663,1300000,100000,1300000,700000,1,3.2,3400000,2.125,1
