no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category
2,1,0,9600000,29900000,12,2400000,17600000,22700000,8000000,1,3.1145833333333335,50700000,1.6956521739130435,2
0,0,1,4100000,12200000,8,2700000,2200000,8800000,3300000,0,2.975609756097561,17000000,1.3934426229508197,0
3,1,0,9100000,29700000,20,7100000,4500000,33300000,12800000,0,3.2637362637362637,57700000,1.9427609427609427,1
3,1,0,8200000,30700000,8,18200000,3300000,23300000,7900000,0,3.7439024390243905,52700000,1.716612377850163,0
5,0,1,9800000,24200000,20,12400000,8200000,29400000,5000000,0,2.4693877551020407,55000000,2.272727272727273,0
0,1,1,4800000,13500000,10,6800000,8300000,13700000,5100000,0,2.8125,33900000,2.511111111111111,0
5,1,0,8700000,33000000,4,22500000,14800000,29200000,4300000,1,3.793103448275862,70800000,2.1454545454545455,1
2,1,1,5700000,15000000,20,13200000,5700000,11800000,6000000,0,2.6315789473684212,36700000,2.4466666666666668,0
0,1,1,800000,2200000,20,1300000,800000,2800000,600000,1,2.75,5500000,2.5,2
5,0,0,1100000,4300000,10,3200000,1400000,3300000,1600000,0,3.909090909090909,9500000,2.2093023255813953,0
4,1,1,2900000,11200000,2,8100000,4700000,9500000,3100000,1,3.8620689655172415,25400000,2.267857142857143,1
2,0,1,6700000,22700000,18,15300000,5800000,20400000,6400000,0,3.388059701492537,47900000,2.1101321585903086,1
3,0,1,5000000,11600000,16,6400000,9600000,14600000,4300000,0,2.32,34900000,3.0086206896551726,0
2,1,1,9100000,31500000,14,10800000,16600000,20900000,5000000,1,3.4615384615384617,53300000,1.692063492063492,1
1,0,0,1900000,7400000,6,1900000,1200000,5900000,1900000,0,3.8947368421052633,10900000,1.472972972972973,0
5,0,0,4700000,10700000,10,5700000,3900000,16400000,4400000,1,2.276595744680851,30400000,2.8411214953271027,2
2,1,1,500000,1600000,4,1300000,100000,1300000,700000,1,3.2,3400000,2.125,1
4,0,1,2900000,9400000,14,2900000,2800000,6700000,4300000,1,3.2413793103448274,16700000,1.7765957446808511,2
2,1,0,2700000,10300000,10,1000000,0,6200000,3300000,1,3.814814814814815,10500000,1.0194174757281553,2
5,1,0,6300000,14600000,12,10300000,3500000,23500000,5900000,1,2.3174603174603177,43200000,2.958904109589041,1
2,1,0,5000000,19400000,12,9500000,1600000,18000000,6100000,0,3.88,35200000,1.8144329896907216,0
4,1,0,5800000,14000000,16,3800000,11300000,22200000,5400000,0,2.413793103448276,42700000,3.05,1
4,1,1,6500000,25700000,18,13100000,1700000,19500000,8500000,0,3.953846153846154,42800000,1.6653696498054475,0
0,0,1,500000,1400000,2,900000,600000,1100000,300000,1,2.8,2900000,2.0714285714285716,1
0,0,0,4900000,9800000,16,3800000,8700000,10000000,3300000,0,2.0,25800000,2.63265306122449,0
5,0,0,3100000,9500000,20,7900000,3100000,6600000,2600000,0,3.064516129032258,20200000,2.126315789473684,1
4,1,0,8200000,28100000,12,11500000,10600000,25300000,7200000,1,3.426829268292683,54600000,1.9430604982206405,1
4,0,1,2400000,5600000,4,4500000,4200000,5400000,2500000,1,2.3333333333333335,16600000,2.9642857142857144,1
5,0,1,7000000,24000000,6,2300000,11900000,27500000,9700000,0,3.4285714285714284,51400000,2.1416666666666666,0
3,0,1,9000000,31500000,10,21800000,12400000,33700000,8000000,1,3.5,75900000,2.4095238095238094,2
2,0,0,9800000,25300000,12,20200000,5200000,25500000,9300000,0,2.5816326530612246,60200000,2.3794466403162056,0
2,1,0,5700000,12000000,6,3600000,7400000,21700000,4300000,0,2.1052631578947367,37000000,3.0833333333333335,0
1,0,1,800000,1600000,10,700000,200000,2200000,1000000,0,2.0,4100000,2.5625,0
5,0,1,8400000,22000000,2,3800000,3900000,19900000,5400000,1,2.619047619047619,33000000,1.5,2
3,1,0,4900000,11900000,8,9700000,1200000,19000000,5800000,1,2.4285714285714284,35700000,3.0,1
2,1,1,1700000,3400000,8,2700000,2800000,6000000,900000,1,2.0,12400000,3.6470588235294117,1
3,0,0,1600000,6200000,18,3400000,700000,5300000,1400000,1,3.875,10800000,1.7419354838709677,1
5,1,1,8000000,27200000,6,6400000,300000,16700000,7100000,0,3.4,30500000,1.1213235294117647,0
5,1,0,3600000,7700000,16,7000000,1300000,10000000,2900000,1,2.138888888888889,21200000,2.7532467532467533,2
3,0,1,1500000,5100000,6,100000,200000,5600000,900000,0,3.4,6800000,1.3333333333333333,0
1,1,0,7800000,18100000,2,8600000,11200000,21700000,9000000,1,2.3205128205128207,50500000,2.7900552486187844,2
2,0,0,9100000,24900000,16,22300000,12100000,31000000,5200000,1,2.7362637362637363,70600000,2.8353413654618476,2
3,1,0,1400000,3400000,6,200000,1500000,3900000,800000,0,2.4285714285714284,6400000,1.8823529411764706,1
2,1,1,800000,2300000,12,2200000,1300000,1800000,800000,0,2.875,6100000,2.652173913043478,0
5,1,0,6500000,13400000,18,18200000,300000,16200000,5400000,1,2.0615384615384613,40100000,2.9925373134328357,2
4,1,0,8000000,27800000,16,13000000,6300000,21400000,10900000,0,3.475,51600000,1.856115107913669,0
3,0,1,4200000,14600000,6,2400000,6900000,8700000,4900000,1,3.4761904761904763,22900000,1.5684931506849316,1
1,1,1,4900000,19100000,14,5400000,9100000,17700000,6500000,1,3.8979591836734695,38700000,2.026178010471204,1
3,0,0,5500000,20500000,12,800000,8600000,18500000,8200000,1,3.727272727272727,36100000,1.7609756097560976,1
1,0,1,9500000,19100000,16,100000,10500000,37700000,11700000,1,2.0105263157894737,60000000,3.141361256544503,1
4,1,0,7300000,25400000,16,500000,1800000,20500000,10500000,0,3.4794520547945207,33300000,1.311023622047244,1
2,1,0,8700000,24700000,10,6800000,3500000,21800000,11300000,0,2.839080459770115,43400000,1.757085020242915,0
5,0,0,3800000,7600000,4,8700000,100000,9300000,3400000,1,2.0,21500000,2.8289473684210527,1
1,0,1,8400000,23000000,12,15400000,14800000,31900000,8200000,1,2.738095238095238,70300000,3.0565217391304347,1
2,1,1,5100000,19700000,20,7400000,9300000,19400000,3400000,1,3.8627450980392157,39500000,2.00507614213198,1
5,0,0,6700000,24500000,12,1200000,5600000,16300000,6200000,1,3.656716417910448,29300000,1.1959183673469387,2
2,0,0,4300000,10600000,18,2100000,1500000,9300000,5200000,0,2.4651162790697674,18100000,1.7075471698113207,0
5,1,1,9300000,30500000,18,19300000,10300000,34600000,8700000,1,3.2795698924731185,72900000,2.3901639344262295,2
1,1,0,7400000,18400000,20,18500000,9100000,17500000,4100000,0,2.4864864864864864,49200000,2.6739130434782608,0
4,0,1,5500000,18200000,16,-100000,4900000,18600000,4800000,1,3.309090909090909,28200000,1.5494505494505495,2
2,0,0,8500000,18900000,18,23800000,16300000,25900000,11400000,0,2.223529411764706,77400000,4.095238095238095,0
3,0,1,9600000,30500000,18,4700000,1900000,26500000,9300000,1,3.1770833333333335,42400000,1.3901639344262295,1
5,0,1,8800000,28900000,6,24400000,8600000,27400000,4700000,0,3.284090909090909,65100000,2.2525951557093427,0
3,0,1,3300000,7500000,20,1600000,5600000,10500000,2900000,1,2.272727272727273,20600000,2.7466666666666666,1
4,1,1,3900000,12300000,18,7600000,6900000,13100000,2800000,1,3.1538461538461537,30400000,2.4715447154471546,2
1,1,0,4100000,10300000,12,9500000,6100000,14900000,2800000,0,2.5121951219512195,33300000,3.233009708737864,0
3,0,0,8300000,29100000,10,6100000,11900000,24100000,11900000,1,3.5060240963855422,54000000,1.8556701030927836,2
0,0,1,2700000,10100000,20,200000,1700000,5900000,1400000,0,3.740740740740741,9200000,0.9108910891089109,1
4,1,0,5600000,12400000,4,5500000,3100000,11800000,5500000,1,2.2142857142857144,25900000,2.088709677419355,2
0,1,0,1900000,5000000,12,4000000,2800000,4900000,2400000,0,2.6315789473684212,14100000,2.82,0
4,0,1,500000,1500000,20,100000,200000,1900000,600000,0,3.0,2800000,1.8666666666666667,0
5,1,1,5300000,18600000,4,2700000,9700000,11900000,4200000,1,3.509433962264151,28500000,1.532258064516129,0
5,0,0,7000000,18300000,4,18400000,11700000,21500000,7600000,0,2.6142857142857143,59200000,3.2349726775956285,0
3,0,1,5800000,16700000,16,3900000,9400000,12600000,5600000,1,2.8793103448275863,31500000,1.8862275449101797,2
2,0,0,2600000,8400000,6,6500000,3800000,5600000,2000000,0,3.230769230769231,17900000,2.130952380952381,0
2,0,0,1900000,6500000,18,600000,2500000,4800000,1100000,1,3.4210526315789473,9000000,1.3846153846153846,1
4,1,0,5700000,14800000,16,14300000,7800000,12900000,6300000,1,2.5964912280701755,41300000,2.7905405405405403,1
0,1,0,9000000,33500000,8,11600000,8900000,35400000,11100000,1,3.7222222222222223,67000000,2.0,2
2,0,0,8500000,29400000,12,17600000,5600000,25200000,9000000,1,3.458823529411765,57400000,1.9523809523809523,1
0,0,0,700000,1400000,14,1900000,700000,2400000,900000,1,2.0,5900000,4.214285714285714,1
4,1,0,3500000,8900000,4,1300000,2200000,12300000,2000000,0,2.5428571428571427,17800000,2.0,0
0,0,0,8800000,31200000,4,2900000,500000,33300000,8600000,1,3.5454545454545454,45300000,1.4519230769230769,2
2,0,1,9900000,21200000,16,25500000,11400000,26600000,6800000,0,2.1414141414141414,70300000,3.3160377358490565,0
3,1,0,3600000,8600000,20,9400000,300000,10300000,3300000,1,2.388888888888889,23300000,2.7093023255813953,1
3,0,1,3000000,8200000,16,5300000,5800000,11000000,3400000,1,2.7333333333333334,25500000,3.1097560975609757,2
2,1,0,6800000,21200000,16,17100000,4700000,23300000,3600000,0,3.1176470588235294,48700000,2.297169811320755,0
5,0,1,1100000,3800000,18,1300000,1200000,3800000,1600000,0,3.4545454545454546,7900000,2.0789473684210527,0
1,0,1,8700000,28300000,8,20400000,13600000,27900000,10200000,0,3.2528735632183907,72100000,2.547703180212014,0
4,1,1,2000000,8000000,6,5100000,2600000,3900000,2900000,1,4.0,14500000,1.8125,2
2,0,0,9800000,37600000,10,24100000,0,23400000,7600000,1,3.836734693877551,55100000,1.4654255319148937,1
4,1,0,5700000,21100000,18,500000,4300000,12500000,6000000,0,3.7017543859649122,23300000,1.1042654028436019,0
4,1,0,8800000,20700000,18,19200000,3200000,22400000,12700000,0,2.352272727272727,57500000,2.7777777777777777,1
