no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category,cluster_id
2,1,0,9600000,29900000,12,2400000,17600000,22700000,8000000,1,3.114583333333333,50700000,1.6956521739130437,2,2
0,0,1,4100000,12200000,8,2700000,2200000,8800000,3300000,0,2.975609756097561,17000000,1.3934426229508197,0,0
3,1,0,9100000,29700000,20,7100000,4500000,33300000,12800000,0,3.263736263736264,57700000,1.942760942760943,1,2
3,1,0,8200000,30700000,8,18200000,3300000,23300000,7900000,0,3.7439024390243913,52700000,1.716612377850163,0,2
5,0,1,9800000,24200000,20,12400000,8200000,29400000,5000000,0,2.4693877551020407,55000000,2.272727272727273,0,2
0,1,1,4800000,13500000,10,6800000,8300000,13700000,5100000,0,2.8125,33900000,2.511111111111111,0,1
5,1,0,8700000,33000000,4,22500000,14800000,29200000,4300000,1,3.793103448275862,70800000,2.145454545454545,1,2
2,1,1,5700000,15000000,20,13200000,5700000,11800000,6000000,0,2.631578947368421,36700000,2.4466666666666668,0,1
0,1,1,800000,2200000,20,1300000,800000,2800000,600000,1,2.75,5500000,2.5,2,0
5,0,0,1100000,4300000,10,3200000,1400000,3300000,1600000,0,3.909090909090909,9500000,2.2093023255813957,0,0
4,1,1,2900000,11200000,2,8100000,4700000,9500000,3100000,1,3.8620689655172415,25400000,2.267857142857143,1,1
2,0,1,6700000,22700000,18,15300000,5800000,20400000,6400000,0,3.388059701492537,47900000,2.110132158590309,1,2
3,0,1,5000000,11600000,16,6400000,9600000,14600000,4300000,0,2.32,34900000,3.0086206896551726,0,1
2,1,1,9100000,31500000,14,10800000,16600000,20900000,5000000,1,3.4615384615384617,53300000,1.692063492063492,1,2
1,0,0,1900000,7400000,6,1900000,1200000,5900000,1900000,0,3.8947368421052633,10900000,1.472972972972973,0,0
5,0,0,4700000,10700000,10,5700000,3900000,16400000,4400000,1,2.276595744680851,30400000,2.8411214953271027,2,1
2,1,1,500000,1600000,4,1300000,100000,1300000,700000,1,3.2,3400000,2.125,1,0
4,0,1,2900000,9400000,14,2900000,2800000,6700000,4300000,1,3.2413793103448274,16700000,1.7765957446808511,2,0
2,1,0,2700000,10300000,10,1000000,0,6200000,3300000,1,3.814814814814815,10500000,1.019417475728155,2,0
5,1,0,6300000,14600000,12,10300000,3500000,23500000,5900000,1,2.3174603174603177,43200000,2.958904109589041,1,1
2,1,0,5000000,19400000,12,9500000,1600000,18000000,6100000,0,3.88,35200000,1.8144329896907216,0,1
4,1,0,5800000,14000000,16,3800000,11300000,22200000,5400000,0,2.413793103448276,42700000,3.05,1,1
4,1,1,6500000,25700000,18,13100000,1700000,19500000,8500000,0,3.953846153846154,42800000,1.6653696498054475,0,1
0,0,1,500000,1400000,2,900000,600000,1100000,300000,1,2.8,2900000,2.071428571428572,1,0
0,0,0,4900000,9800000,16,3800000,8700000,10000000,3300000,0,2.0,25800000,2.63265306122449,0,1
5,0,0,3100000,9500000,20,7900000,3100000,6600000,2600000,0,3.064516129032258,20200000,2.126315789473684,1,0
4,1,0,8200000,28100000,12,11500000,10600000,25300000,7200000,1,3.426829268292683,54600000,1.9430604982206403,1,2
4,0,1,2400000,5600000,4,4500000,4200000,5400000,2500000,1,2.333333333333333,16600000,2.9642857142857144,1,0
5,0,1,7000000,24000000,6,2300000,11900000,27500000,9700000,0,3.4285714285714284,51400000,2.1416666666666666,0,2
3,0,1,9000000,31500000,10,21800000,12400000,33700000,8000000,1,3.5,75900000,2.4095238095238094,2,2
2,0,0,9800000,25300000,12,20200000,5200000,25500000,9300000,0,2.5816326530612246,60200000,2.3794466403162056,0,2
2,1,0,5700000,12000000,6,3600000,7400000,21700000,4300000,0,2.1052631578947367,37000000,3.083333333333333,0,1
1,0,1,800000,1600000,10,700000,200000,2200000,1000000,0,2.0,4100000,2.5625,0,0
5,0,1,8400000,22000000,2,3800000,3900000,19900000,5400000,1,2.619047619047619,33000000,1.5,2,1
